Batting and Fielding,Mat,No,Runs,HS,Ave,BF,SR,100,50,4s,6s,CT,ST
Career,76,13,2502,132*,46.33,"1,818",137.62,2,21,221,99,33,5
2020,9,2,525,132*,75,387,135.65,1,5,45,18,4,0
2019,14,3,593,100*,53.9,438,135.38,1,6,49,25,7,0
2018,14,2,659,95*,54.91,416,158.41,0,6,66,32,10,1
2016,14,3,397,68*,44.11,271,146.49,0,4,37,16,5,4
2015,9,3,142,44*,28.4,126,112.69,0,0,8,5,1,0
2014,11,0,166,46,20.75,164,101.21,0,0,12,3,4,0
2013,5,0,20,12,10,16,125,0,0,4,0,2,0
,,,,,,,,,,,,,
*** DATA TAKEN FROM https://www.iplt20.com/teams/kings-xi-punjab/squad/1125/kl-rahul,,,,,,,,,,,,,
*** FOR EDUCATIONAL PURPOSES ONLY,,,,,,,,,,,,,
