Batting and Fielding,Mat,No,Runs,HS,Ave,BF,SR,100,50,4s,6s,CT,ST
Career,71,8,2002,96,31.77,"1,567",127.76,0,15,173,79,26,0
2020,9,1,321,88*,40.12,243,132.09,0,2,24,12,4,0
2019,16,1,463,67,30.86,386,119.94,0,3,41,14,8,0
2018,14,3,411,93*,37.36,310,132.58,0,4,29,21,5,0
2017,12,2,338,96,33.8,243,139.09,0,2,36,10,3,0
2016,6,0,30,19,5,43,69.76,0,0,2,1,4,0
2015,14,1,439,83,33.76,342,128.36,0,4,41,21,2,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
***DATA TAKEN FROM https://www.iplt20.com/teams/delhi-daredevils/squad/1563/Shreyas-Iyer/,,,,,,,,,,,,,
*** FOR EDUCATIONAL PURPOSES ONLY,,,,,,,,,,,,,
,,,,,,,,,,,,,
