Batting and Fielding,Mat,No,Runs,HS,Ave,BF,SR,100,50,4s,6s,CT,ST
Career,54,7,1648,95*,35.06,"1,101",149.68,0,11,162,74,30,1
2020,9,1,262,70*,32.75,182,143.95,0,2,22,13,5,0
2019,8,0,311,89,38.87,205,151.7,0,3,38,14,8,0
2018,13,3,548,95*,54.8,353,155.24,0,5,52,21,9,1
2017,10,0,272,77,27.2,177,153.67,0,1,27,15,1,0
2016,14,3,255,41,23.18,184,138.58,0,0,23,11,7,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
***DATA TAKEN FROM   https://www.iplt20.com/teams/rajasthan-royals/squad/509/jos-buttler,,,,,,,,,,,,,
*FOR EDUCATIONAL PURPOSES ONLY,,,,,,,,,,,,,
