Batting and Fielding,Mat,No,Runs,HS,Ave,BF,SR,100,50,4s,6s,CT,ST
Career,103,9,2445,102*,27.16,"1,846",132.44,2,12,180,108,50,6
2020,10,0,236,85,23.6,150,157.33,0,2,10,19,7,2
2019,12,2,342,102*,34.2,230,148.69,1,0,28,13,4,1
2018,15,1,441,92*,31.5,320,137.81,0,3,30,19,5,0
2017,14,0,386,102,27.57,273,141.39,1,2,32,19,4,0
2016,14,3,291,60,26.45,259,112.35,0,1,20,8,3,1
2015,14,1,204,76,20.4,163,125.15,0,1,16,8,9,0
2014,13,0,339,74,26.07,273,124.17,0,2,25,17,5,2
2013,11,2,206,63,25.75,178,115.73,0,1,19,5,13,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
***DATA TAKEN FROM  https://www.iplt20.com/teams/rajasthan-royals/squad/509/jos-buttler,,,,,,,,,,,,,
***FOR EDUCATIONAL PURPOSES ONLY,,,,,,,,,,,,,
